Method,Dice,0.796494521
AutoFuse,0.709198808,
AutoFuse,0.418575061,
AutoFuse,0.427829697,
AutoFuse,0.847764572,
AutoFuse,0.882400795,
AutoFuse,0.89749274,
AutoFuse,0.894975595,
AutoFuse,0.901426795,
AutoFuse,0.901542795,
AutoFuse,0.893530205,
AutoFuse,0.871172517,
AutoFuse,0.877449222,
AutoFuse,0.883382088,
AutoFuse,0.880245333,
AutoFuse,0.912148937,
AutoFuse,0.925006299,
AutoFuse,0.927977878,
AutoFuse,0.928839612,
AutoFuse,0.91197673,
AutoFuse,0.912356536,
AutoFuse,0.903146463,
AutoFuse,0.896743343,
AutoFuse,0.909202762,
AutoFuse,0.937724243,
AutoFuse,0.926937351,
AutoFuse,0.928174816,
AutoFuse,0.920525072,
AutoFuse,0.924599112,
AutoFuse,0.89977841,
AutoFuse,0.921806894,
AutoFuse,0.937846767,
AutoFuse,0.932593808,
AutoFuse,0.897475405,
AutoFuse,0.87040515,
AutoFuse,0.901549224,
AutoFuse,0.877783668,
AutoFuse,0.904977375,
AutoFuse,0.900610549,
AutoFuse,0.829923663,
AutoFuse,0.893626672,
AutoFuse,0.893459203,
AutoFuse,0.853830317,
AutoFuse,0.813140167,
AutoFuse,0.890602244,
AutoFuse,0.893087681,
AutoFuse,0.916159464,
AutoFuse,0.914313475,
AutoFuse,0.901850813,
AutoFuse,0.8970361,
AutoFuse,0.901382488,
AutoFuse,0.89682304,
AutoFuse,0.854025481,
AutoFuse,0.882622176,
AutoFuse,0.883928569,
AutoFuse,0.887192938,
AutoFuse,0.906025289,
AutoFuse,0.910985669,
AutoFuse,0.9028021,
AutoFuse,0.900278291,
AutoFuse,0.892996613,
AutoFuse,0.894593365,
AutoFuse,0.848414177,
AutoFuse,0.889788956,
AutoFuse,0.851218624,
AutoFuse,0.875872139,
AutoFuse,0.87879911,
AutoFuse,0.877598152,
AutoFuse,0.874821286,
AutoFuse,0.767947516,
AutoFuse,0.845936109,
AutoFuse,0.878872713,
AutoFuse,0.814295452,
AutoFuse,0.77875652,
AutoFuse,0.833770318,
AutoFuse,0.877679149,
AutoFuse,0.879541107,
AutoFuse,0.891521195,
AutoFuse,0.871501772,
AutoFuse,0.859737154,
AutoFuse,0.85108756,
AutoFuse,0.869406391,
AutoFuse,0.863781319,
AutoFuse,0.738838768,
AutoFuse,0.839615663,
AutoFuse,0.742348354,
AutoFuse,0.867310007,
AutoFuse,0.831050224,
AutoFuse,0.835483866,
AutoFuse,0.804414465,
AutoFuse,0.835820889,
AutoFuse,0.842650099,
AutoFuse,0.817361889,
AutoFuse,0.802030452,
AutoFuse,0.867668018,
AutoFuse,0.889909172,
AutoFuse,0.902049179,
AutoFuse,0.875808807,
AutoFuse,0.876125426,
AutoFuse,0.859583555,
AutoFuse,0.888731729,
AutoFuse,0.898156729,
AutoFuse,0.866842318,
AutoFuse,0.88695141,
AutoFuse,0.422222175,
AutoFuse,0.34666662,
AutoFuse,0.09523805,
AutoFuse,0.034482753,
AutoFuse,0.555555494,
AutoFuse,0.620689602,
AutoFuse,0.441558384,
AutoFuse,0.190476168,
AutoFuse,0.25714282,
AutoFuse,0.025641022,
AutoFuse,0.529820496,
AutoFuse,0.558925905,
AutoFuse,0.570930229,
AutoFuse,0.573410401,
AutoFuse,0.640473624,
AutoFuse,0.475941421,
AutoFuse,0.659928979,
AutoFuse,0.66474405,
AutoFuse,0.537572252,
AutoFuse,0.36695199,
DFMNet,0.877399255,0.799567673
DFMNet,0.893247612,
DFMNet,0.891193506,
DFMNet,0.887089503,
DFMNet,0.879215095,
DFMNet,0.878427795,
DFMNet,0.897326682,
DFMNet,0.872689383,
DFMNet,0.878116565,
DFMNet,0.834402909,
DFMNet,0.762046669,
DFMNet,0.806325866,
DFMNet,0.806209666,
DFMNet,0.812891683,
DFMNet,0.804095915,
DFMNet,0.767675075,
DFMNet,0.790456971,
DFMNet,0.792216657,
DFMNet,0.797487198,
DFMNet,0.723373597,
DFMNet,0.923322047,
DFMNet,0.89009807,
DFMNet,0.866132556,
DFMNet,0.889529821,
DFMNet,0.846848961,
DFMNet,0.907605575,
DFMNet,0.916729576,
DFMNet,0.933702644,
DFMNet,0.834722903,
DFMNet,0.839452585,
DFMNet,0.3032211,
DFMNet,0.546100981,
DFMNet,0.387351771,
DFMNet,0.515644549,
DFMNet,0.464615377,
DFMNet,0.301160984,
DFMNet,0.665629857,
DFMNet,0.535014002,
DFMNet,0.310794777,
DFMNet,0.113592863,
DFMNet,0.874480411,
DFMNet,0.878697422,
DFMNet,0.896047479,
